FacID,year_scrubbed,uID
3,2010,1
8,2007,3
26,2010,1
50,1997,2
51,1997,1
56,1997,2
56,2007,1
59,2014,1
60,2011,1
87,1997,1
108,1997,1
113,1997,2
113,2008,1
113,2009,1
127,1997,1
130,1997,2
130,2006,1
130,2008,1
136,1997,2
160,1997,2
165,1997,1
207,1997,2
298,1997,2
465,1997,1
465,2002,1
469,1997,1
469,1998,1
469,2002,2
470,2008,2
470,2010,1
477,2002,1
492,2016,2
508,2009,1
525,1998,1
525,1999,1
527,1997,1
564,1997,2
594,2011,1
602,2009,1
602,2010,1
628,2009,1
628,2010,1
641,2010,4
645,1999,2
663,2009,1
667,2002,2
676,1997,1
703,2008,2
703,2009,1
703,2010,1
708,2008,4
728,1996,1
861,2009,1
861,2010,1
876,2013,2
879,2014,2
883,2014,1
889,2010,1
889,2011,1
889,2012,1
891,2012,1
963,1997,1
963,2001,2
963,2009,1
976,1997,1
976,2003,1
983,2013,6
990,2007,1
994,1996,2
994,1997,2
995,1996,2
997,2015,1
1001,2008,2
1008,2010,2
1012,1996,2
1040,2005,1
1047,2015,1
1082,2007,1
1082,2009,1
1091,2014,1
1167,1997,1
1241,2000,1
1241,2014,1
1250,1997,2
1355,2010,3
1356,1996,1
1356,2007,1
1356,2008,1
1356,2009,1
1357,1997,3
1363,1997,3
1364,1997,4
1374,1996,2
1378,1997,2
1378,2006,1
1379,1996,1
1379,2017,2
1381,2005,3
1382,1996,2
1384,2012,1
1384,2015,1
1571,2009,2
1572,2009,3
1573,2009,2
1619,2008,2
1619,2013,1
1702,2014,1
1702,2015,1
1710,2016,3
1733,2009,2
1733,2013,1
1733,2014,1
1825,1997,1
1843,1997,1
1866,1997,1
1893,1997,1
1893,2009,1
1915,2007,1
2008,2008,1
2076,2014,1
2079,1996,1
2079,2001,1
2107,2010,2
2240,2015,1
2324,1997,4
2364,2011,2
2367,2006,1
2378,1996,1
2403,2010,1
2408,2010,2
2442,1997,5
2451,1998,4
2526,2008,1
2527,2007,1
2706,2005,1
2706,2006,1
2712,2007,1
2712,2008,5
2718,2009,5
2721,2010,1
2721,2012,1
2727,2006,1
2727,2007,3
2790,2017,1
2817,2012,1
2817,2013,1
2823,1997,1
2823,2011,1
2824,1997,1
2828,2007,1
2828,2008,1
2828,2012,1
2832,2007,2
2840,1997,2
2840,2009,1
2850,2008,4
2861,1996,1
2866,2010,7
2876,2011,3
2876,2012,2
2878,1996,1
2917,1999,1
2963,2016,1
3098,1997,4
3122,2001,1
3122,2015,1
3122,2016,1
3130,2004,2
3136,2009,2
3140,2009,3
3149,2008,2
3159,1997,1
3161,1997,2
3179,2009,3
3297,2010,2
3298,2009,1
3396,2008,1
3399,1996,2
3403,2015,3
3403,2016,1
3407,2009,9
3470,1997,1
3788,2005,5
3797,2008,1
3797,2011,3
3845,2001,1
3845,2002,1
3935,2009,1
3935,2010,1
3935,2011,1
3943,2009,2
3948,2007,2
3954,2001,1
3954,2002,1
4041,2011,1
4041,2012,3
4050,2016,1
4078,2008,1
4078,2016,1
4143,2009,1
4158,1997,1
4158,2010,1
4162,1997,1
4162,2011,1
4162,2012,1
4259,1997,1
4271,2014,1
4941,1997,1
4941,1998,1
4941,1999,1
6002,2009,1
6002,2010,2
6002,2011,1
6004,1997,2
6016,1997,1
6018,1996,1
6019,1997,1
6021,1997,3
6030,1997,2
6031,2007,1
6041,2005,1
6041,2008,1
6041,2009,2
6052,2008,1
6052,2009,1
6055,2015,1
6061,1996,2
6064,2016,1
6065,2009,1
6065,2010,1
6068,1997,3
6071,1997,1
6071,2010,1
6073,2015,1
6076,1997,4
6082,1997,1
6085,1997,2
6085,2013,1
6085,2014,1
6089,1997,1
6090,1996,2
6090,1997,1
6094,1997,1
6094,1998,1
6095,2018,2
6096,2009,1
6098,2015,1
6101,1996,1
6106,2014,1
6113,1996,1
6113,1997,1
6113,2006,1
6113,2007,2
6136,2011,1
6137,1997,2
6138,2016,1
6146,1997,3
6147,1997,1
6165,1997,2
6165,2012,1
6166,2015,2
6170,2006,1
6170,2007,1
6177,1997,2
6179,1997,1
6179,2010,1
6179,2011,1
6180,2009,1
6180,2010,1
6183,1997,1
6195,2011,1
6204,1997,3
6213,1997,2
6248,2014,1
6249,1997,3
6249,2007,1
6250,2009,2
6254,2014,1
6257,2010,1
6257,2012,1
6257,2013,2
6264,2007,1
6288,2019,1
6469,1997,2
6481,1997,2
6639,1996,2
6648,1997,1
6664,2007,1
6705,2008,4
6761,1997,1
6823,1997,1
7030,1997,2
7097,1997,1
7097,2010,1
7210,1997,1
7213,1997,2
7343,2014,1
7504,1997,1
7537,1997,2
7790,1997,1
7902,1997,1
8023,2014,2
8042,2008,2
8066,1996,3
8066,1997,1
8069,1997,1
8069,2006,1
8102,1996,2
8219,2017,1
8222,1997,1
8223,1997,2
8223,2006,1
8223,2009,1
8224,1997,1
8226,2010,1
10017,2007,1
10043,1999,1
10071,2007,3
10071,2008,3
10075,2007,1
10075,2008,1
10111,2008,1
10113,1999,2
10143,1999,1
10151,2003,2
10252,2003,1
10328,2003,1
10333,2008,1
10343,1999,1
10377,2007,3
10377,2008,3
10382,2006,1
10384,2006,4
10464,1999,3
10566,1999,2
10603,1999,1
10641,1999,2
10671,2015,4
10672,2008,3
10675,1999,2
10676,1999,4
10678,2000,1
10743,2003,2
10771,2001,2
10773,2001,2
10774,2001,2
10865,2003,9
10867,2003,2
50039,1999,1
50189,2004,1
50202,1999,1
50240,2003,1
50254,2004,1
50397,1999,1
50410,1999,1
50611,1999,1
50776,1999,2
50835,2008,2
50879,1999,1
50888,1999,1
50951,2015,1
50974,1999,2
50976,2008,1
52007,2003,2
52071,2009,2
54035,2004,1
54081,2003,8
54144,1999,1
54276,2004,2
54304,2003,1
54556,2006,1
54634,1999,1
54755,2004,1
55076,2002,2
55479,2003,1
55749,2006,1
55856,2012,2
56068,2009,1
56068,2010,1
56224,2008,1
56319,2008,1
56456,2010,1
56564,2012,1
56596,2010,1
56609,2011,1
56611,2012,1
56671,2011,1
56786,2014,1
56808,2012,2
880102,2015,2
